お金がないから何もできないという人はお金があっても何もできない,小林一三
幸福はお金では買えないと言った人々は、どこで買えばいいか知らなかったのだ,ガートルード・スタイン
お金というのは力であり、自由であり、心痛を和らげるクッションであり、また、あらゆる悪の根源でもあるが、いっぽう、最大の幸福にもなるのである,カール・サンドバーグ
お金は力だ。より多くのお金を持っていれば、それだけ多くの選択肢が与えられるからだ。,ロバート・キヨサキ
毎月少しずつお金を貯めていきなさい。そうすれば、年末には、びっくりすることでしょう。あまりの少なさに。,アーネスト・ハスキンズ
悪の根源をなすものは、金そのものにあるのではなく、金に対する執着である。,サミュエル・スマイルズ
借金することは、自由を売ることに等しい。,フランクリン
金は借りてもならず、貸してもならない。 貸せば金を失うし、友も失う。 借りれば倹約が馬鹿らしくなる。,シェークスピア
金儲けのうまい人は、無一文になっても自分自身という財産を持っている,アラン
中流以下の人間（中流階級と貧乏人）はお金のために働く。金持ちは自分のためにお金を働かせる。,ロバート・キヨサキ
金を稼ごうと思ったら、金を使わなければならない,プラウトゥス
幸せな金持ちになるための秘訣は、自分の大好きなことを仕事にすることだ。,本田健
神様がお金をどう思っているか知りたければ、神様がお金を授けている人々を見るとよい,モーリス・ベアリング
金銭は無慈悲な主人だが、有益な召使いにもなる,ユダヤの格言
働きたくないなら、働かなくてもすむだけの金を作るために、働かねばならない。,オグデン・ナッシュ
お金持ちになる方法は２つ。お金を稼ぐ事と、お金を守る事だ。,ロバート・キヨサキ
私達は金を稼ぐために頭脳をもち、 金を使うために心情を持っている。,ジョージ・ファーカー
欲しいと思うものを買うな。必要なものだけ買え。,カトー
貸すならば、なくしても惜しくないだけの額を貸すことだ。,ジョージ・ハーバード
若いときの自分は、金こそ人生でもっとも大切なものだと思っていた。今、歳をとってみるとその通りだと知った。,オスカー・ワイルド
貧しさは貧しいと感じるところにある。,ラルフ・ワルド・エマーソン
神は人間に額に汗して働けと命じている。 銀行に金を積んで、何もしないで食べていこうとするのは人間の掟に反することだ。,レフ・トルストイ
愚か者は、金を持って死んでいくために、貧乏で暮らす。,ブロッケス
金を持たずに済ますことにも、金を儲けるのと同じくらいの苦労と価値がある。,ルナール
人生は海、金は船頭である。船頭がいなければ、うまく世渡りができない。,ヴェツケルリン
君に金がない理由を教えてやろうか。 それは君が金だけをひたすら愛さないからさ。 金というものはね、何もかも愛するような浮気者には身をまかせないものさ。,フィンリー・ダン
人々はお金で貴いものは買えないという。 そういう決り文句こそ、貧乏を経験したことのない何よりの証拠だ。,ギッシング
「貧困は恥ではない」というのは、すべての人間が口にしながら、 誰一人、心では納得していない諺である。,コッツェブー
財産は来るもので、作るものではない。,ヘンリー・フォード
借金して明日起きるより、今夜食わずに寝よ。,フランクリン
ほんとうに大切な自由はただ一つ、「経済的な自由」がそうだ。,サマセット・モーム
できるだけ儲けて、できるだけ貯めて、できるだけ与えなさい。,ウェスレー
人間として最大の美徳は、上手に金をかき集めることである。つまり、どんなことがあっても他人の厄介になるなということだ。,ドストエフスキー
いらぬ物を買えば、いるものを売るに至る。,フランクリン
金は肥料のようなものだ。ばらまけば役に立つが、一ヶ所に積んでおくとひどい臭いがしてくる。,クリント・Ｗ・マーチソン
借金は愚行と犯罪の多産な母親であり、知恵の不足はその父親である。,ベンジャミン・ディスレリィ
金持ちがどんなにその富を自慢しているとしても、彼がその富をどんなふうに使うかが判るまで、彼をほめてはいけない。,ソクラテス
金は人間にとって血であり、命である。,アンティファネス
金は底のない海である。このなかに名誉も良心も心理もみんな投げ込まれる。,カズレー
今日卵を一つ持つより、明日めんどりを一羽持つほうがよい。,トーマス・フラー
自分のポケットの小銭は、他人のポケットの大金にまさる。,セルバンテス
女房と財布は努めて隠しておけ。あまりたびたび人に見せると、一日借りられる恐れがある。,フランクリン
財布が軽ければ心は重い。,ゲーテ
金を愛するだけではダメだ。金に愛されるようにならないと。,ネーサン・ロスチャイルド
人生において自分が欲しいものを得るために絶対に欠かせない最初の一歩は、「自分が欲しいものを決めろ！」ということだ。,ベン・ホーガン
金銭は第六巻のようなもので、これがないと他の五感も満足に働かない。,サマセット・モーム
悪い人間に親切をすると二度ひどい目にあう。 金を失って、しかも感謝されない。,テオグニス
貧乏は恥ではないが、ひどく不便なものである,シドニー・スミス
お金は１か所にとどまらせていてはいけない。働かさないことには、新たな価値を生まない。,ロバート・キヨサキ
お金は人生で一番大事なものではない。だが、幸福や健康、良好な対人関係といった、あなたの人生にとって一番大事なものに影響を及ぼしている。,ロバート・キヨサキ
