自分自身を信じてみるだけでいい。きっと、生きる道が見えてくる。,ニーチェ
夢中で日を過ごしておれば、いつかはわかる時が来る。,坂本竜馬
人生とは自転車のようなものだ。倒れないようにするには走らなければならない。,アインシュタイン
人生は道路のようなものだ。一番の近道は、たいてい一番悪い道だ。,フランシス・ベーコン
生きるとは呼吸することではない。行動することだ。,ジャン＝ジャック・ルソー
人間、志を立てるのに遅すぎるということはない。,ボールドウィン
成し遂げんとした志をただ一回の敗北によって捨ててはいけない。,ウィリアム・シェイクスピア
一生の間に一人の人間でも幸福にすることが出来れば自分の幸福なのだ,川端 康成
過去も未来も存在せず、あるのは現在と言う瞬間だけだ,レフ・トルストイ
短い人生は時間の浪費によっていっそう短くなる。,サミュエル・ジョンソン
一番多忙な人間が一番多くの時間をもつ。,アレクサンドル・ピネ
「それも、いいじゃないか」は、おもしろい人生のスローガン。,メーソン・クーリー
３０分ぐらいでは何もできないと考えているより、世の中の一番つまらぬことでもする方がまさっている。,ゲーテ
貴方が持ち合わせた力に余る強さなど、人生は要求しない。貴方にたて得るただひとつの手柄は、そこから逃げないこと。,ダグ・マハーショルド
貴方が成すべきことを成さねばならないのなら、したいことをするための賢明さも持たなくてはならない。,マルコム・フォーブズ
貴方の周りを変えようとしてもほとんど意味がない。まず最初に、自分の信念を変えなさい。そうすれば、貴方の周りのあらゆることがそれに応じて、変わる。,ブライアン・アダムス
貴方の心が正しいと感じることを行いなさい。行なえば非難されるだろうが、行なわなければ、やはり非難されるのだから。,エリノア・ルーズベルト
貴方の進歩を妨げているのは、貴方が何であるかではなく、貴方が自分を何だと思っているかである。,デニス・ウェイトリー
貴方の人生は貴方の思いどおりに変えられる。なぜなら貴方自身によってデザインされるのが貴方の人生だからだ。,マーフィー
貴方の知る最善をなせ。もし貴方がランナーであれば走れ、鐘であれば鳴れ。,イグナス・バーンスタイン
あまり多くを求めないことだ。とくに他人に対しては。,レオ・C・ローステン
いかに弱き人といえども、その全力を単一の目的に集中すれば必ずその事を成し得べし。,春日潜庵
うまくいかなかった日は、寝る前に自問する。今ここで何かできることがあるのか、と。なければぐっすり寝る。,L・L・コルベルト
すべては、待っている間に頑張った人のもの。,トーマス・エジソン
今日なし得ることに全力を尽くせ、しからば明日は一段の進歩あらん,アイザック・ニュートン
この世は興味あるもので満ち満ちている。こんな素晴らしい世界でだらだらと人生を送るのはもったいない,デール・カーネギー
失敗とはよりよい方法で再挑戦するいい機会である,ヘンリー・フォード
私の歩みは遅いが歩んだ道を引き返すことはない。,エイブラハム・リンカーン
凧が一番高く上がるのは、風に向かっている時である。風に流されている時ではない。,ウィンストン・チャーチル
人生とは自分を見つけることではない。人生とは自分を創ることである。,バーナード・ショー
いつでも肝に銘じておきなさい。成功への決意が何よりも重要だということを。,エイブラハム・リンカーン
動を伴わない想像力は何の意味も持たない。,チャーリー・チャップリン
計画のない目標は、ただの願い事にすぎない。,サン＝テグジュペリ
簡単に諦める者に勝利は無い。勝者は決して諦めない。,ナポレオン・ヒル
知ることだけでは十分ではない。それを使わなくてはいけない。やる気だけでは十分ではない。実行しなくてはいけない。,ゲーテ
運命が決まるのは、あなたが決断する瞬間なのだ。,アンソニー・ロビンズ
とにかく、新しい毎日なんだ。,ヘミングウェイ
およそ惨めなものは、将来のことを不安に思って、不幸にならない前に不幸になっている心です。,セネカ
生きるうえで最も偉大な栄光は、決して転ばないことにあるのではない。転ぶたびに起き上がり続けることにある。,ネルソン・マンデラ
元気を出しなさい。今日の失敗ではなく、明日訪れるかもしれない成功について考えるのです。,ヘレン・ケラー
快活さを失った場合、それを取り戻す最善の方法は、いかにも快活そうにふるまい、快活そうにしゃべることだ。,ウイリアム・ジェームズ
良心に照らして少しもやましいところがなければ、何を悩むことがあろうか。何を恐れることがあろうか。,孔子
このまま行けと、僕の中の僕が命じるんだ。,ゴッホ
世界には、きみ以外には誰も歩むことのできない唯一の道がある。その道はどこに行き着くのか、と問うてはならない。ひたすら進め。,ニーチェ
私は思う。今が一番大事なときだ。もう一歩！,武者小路実篤
終着点はどうだっていい。そこへ行くまでの道のりがすべてよ。,ウィラ・キャザー
心に歌を持ち、目に輝きと魂に平和をもって毎日を始めなくっちゃ！,ルーシー
人生には解決法なんかないんだ。あるのは、前に進む力だけだ。解決法は、後からついてくるものさ。,サン＝テグジュペリ
人を信じよ、しかし、その百倍も自らを信じよ。,手塚治虫
今はないものについて考えるときではない。今あるもので、何ができるかを考えるときである。,ヘミングウェイ
